deel,taak,exercise_type,options_num,correct,topic
1,1,woorden,2,incorrect,jezelf of iemand anders voorstellen
1,1,woorden,2,correct,jezelf of iemand anders voorstellen
1,1,woorden,2,incorrect,jezelf of iemand anders voorstellen
1,1,woorden,2,correct,jezelf of iemand anders voorstellen
1,1,woorden,2,correct,jezelf of iemand anders voorstellen
1,1,woorden,2,correct,jezelf of iemand anders voorstellen
1,1,woorden,2,correct,jezelf of iemand anders voorstellen
1,1,woorden,2,correct,jezelf of iemand anders voorstellen
1,1,woorden,2,correct,jezelf of iemand anders voorstellen
1,1,woorden,2,correct,jezelf of iemand anders voorstellen
1,1,woorden,2,correct,jezelf of iemand anders voorstellen
1,1,woorden,2,correct,jezelf of iemand anders voorstellen
1,1,woorden,2,incorrect,jezelf of iemand anders voorstellen
1,1,woorden,2,correct,jezelf of iemand anders voorstellen
1,1,woorden,2,incorrect,jezelf of iemand anders voorstellen
1,1,woorden,2,incorrect,jezelf of iemand anders voorstellen
1,1,woorden,3,correct,jezelf of iemand anders voorstellen
1,oefenen,grammatica,4,correct,het subject
1,oefenen,grammatica,4,correct,het subject
1,oefenen,grammatica,4,incorrect,het subject
1,oefenen,grammatica,3,correct,het subject
1,oefenen,grammatica,3,correct,het subject
1,oefenen,grammatica,2,incorrect,het subject
1,oefenen,grammatica,2,incorrect,het subject
1,oefenen,grammatica,2,correct,het subject
2,4,woorden,2,correct, informatie vragen en geven op het gemeentehuis
2,4,woorden,2,correct, informatie vragen en geven op het gemeentehuis
2,4,woorden,2,correct, informatie vragen en geven op het gemeentehuis
2,4,woorden,2,correct, informatie vragen en geven op het gemeentehuis
2,3,woorden,2,correct,een bankrekening openen
2,3,woorden,2,incorrect,een bankrekening openen
2,3,woorden,2,correct,een bankrekening openen
2,3,woorden,2,correct,een bankrekening openen
2,oefenen,grammatica,2,correct,het futurum
2,oefenen,grammatica,2,correct,het futurum
2,oefenen,grammatica,2,correct,het futurum
2,oefenen,grammatica,2,correct,het futurum
2,oefenen,grammatica,2,correct,het futurum
2,oefenen,grammatica,2,incorrect,het futurum
